epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1077.05,1.25242,3.45933,3.07444,1.48094,0,0.01071,0.46642,0.11664,0.06223,0.00994,0.42413,0.10176,0.05007,1.27153,3.30225,3.44669,1.4698,0,0.00031,0.00031,0.00031
2,1404.45,1.19788,2.51975,2.13941,1.41693,0,0.75446,0.18908,0.21592,0.13061,0.74305,0.18261,0.19774,0.10636,1.34543,3.30456,2.52158,1.53526,0,0.000617526,0.000617526,0.000617526
3,1730.69,1.17424,2.33541,1.90953,1.38074,0,0.62318,0.29757,0.26291,0.15121,0.59404,0.26946,0.222,0.12104,1.40674,3.36553,2.37237,1.53456,0,0.00091238,0.00091238,0.00091238
4,2196.9,1.13622,2.31656,1.78308,1.35297,0,0.70679,0.25348,0.27621,0.16708,0.67217,0.22419,0.23072,0.1184,1.30408,3.44711,2.15933,1.40994,0,0.0009406,0.0009406,0.0009406
5,2631.34,1.15088,2.22733,1.70749,1.348,0,0.64556,0.32619,0.32122,0.2029,0.69326,0.29337,0.31127,0.18418,1.27658,2.65976,1.90029,1.39814,0,0.0009208,0.0009208,0.0009208
6,2948.58,1.11893,2.10444,1.62978,1.31894,0,0.71115,0.27894,0.3152,0.19213,0.71666,0.29282,0.31394,0.17671,1.33628,2.79094,1.94963,1.42538,0,0.000901,0.000901,0.000901
7,3180.41,1.10282,2.12622,1.622,1.31903,0,0.69173,0.29173,0.32431,0.20502,0.65911,0.29188,0.29828,0.17691,1.30245,2.62102,1.94494,1.44706,0,0.0008812,0.0008812,0.0008812
8,3434.94,1.06608,2.01929,1.55698,1.29479,0,0.69385,0.37053,0.34614,0.20419,0.67367,0.36309,0.32914,0.19176,1.23758,2.45978,1.84614,1.37403,0,0.0008614,0.0008614,0.0008614
9,3779.31,1.08409,2.05196,1.5465,1.30231,0,0.68822,0.31779,0.31816,0.20318,0.67987,0.33316,0.3214,0.19209,1.18549,2.36885,1.84058,1.34303,0,0.0008416,0.0008416,0.0008416
10,4041.41,1.03116,1.92436,1.46154,1.27017,0,0.69542,0.33646,0.36282,0.23393,0.74779,0.31975,0.37161,0.22678,1.22237,2.23286,1.7161,1.34436,0,0.0008218,0.0008218,0.0008218
11,4295.92,1.03742,1.95817,1.45769,1.27797,0,0.81668,0.29684,0.37102,0.24361,0.81909,0.30369,0.37159,0.23995,1.1674,2.2405,1.70595,1.32858,0,0.000802,0.000802,0.000802
12,4727.01,1.01034,1.94686,1.41213,1.25038,0,0.76426,0.36262,0.40131,0.24721,0.773,0.36484,0.39559,0.23686,1.22787,2.20755,1.60858,1.36041,0,0.0007822,0.0007822,0.0007822
13,4978.95,0.97948,1.79824,1.36083,1.23738,0,0.75762,0.3551,0.38159,0.25666,0.76735,0.36406,0.38884,0.24286,1.17459,2.20294,1.61186,1.34202,0,0.0007624,0.0007624,0.0007624
14,5390.25,0.99285,1.86233,1.38283,1.25146,0,0.75026,0.345,0.39317,0.25276,0.74117,0.33484,0.37004,0.22689,1.17248,2.28767,1.58141,1.31089,0,0.0007426,0.0007426,0.0007426
15,5689.98,0.97161,1.87494,1.33865,1.23364,0,0.71513,0.34857,0.35697,0.23345,0.7353,0.34201,0.35072,0.20969,1.22599,2.33346,1.7916,1.36295,0,0.0007228,0.0007228,0.0007228
16,7070.13,0.97269,1.86139,1.30093,1.22302,0,0.67822,0.36324,0.36382,0.2366,0.685,0.36666,0.35748,0.22437,1.17615,2.11929,1.64736,1.35746,0,0.000703,0.000703,0.000703
17,8642.98,0.96836,1.83365,1.29076,1.22271,0,0.74349,0.40183,0.40959,0.25947,0.72576,0.39888,0.3864,0.24139,1.19778,2.23729,1.66798,1.33751,0,0.0006832,0.0006832,0.0006832
18,9094.76,0.92956,1.75514,1.24228,1.19465,0,0.7641,0.38189,0.41702,0.26127,0.74776,0.36269,0.38783,0.243,1.16522,2.18762,1.52746,1.32465,0,0.0006634,0.0006634,0.0006634
19,9445.71,0.94024,1.75397,1.26331,1.209,0,0.56578,0.38655,0.40591,0.26356,0.55271,0.39294,0.39685,0.25317,1.14635,2.13941,1.53233,1.28523,0,0.0006436,0.0006436,0.0006436
20,9852.99,0.92783,1.74549,1.21127,1.20508,0,0.57963,0.40316,0.40096,0.26956,0.60154,0.38139,0.39508,0.2506,1.15005,2.1392,1.49046,1.28646,0,0.0006238,0.0006238,0.0006238
21,10162,0.91819,1.67969,1.20337,1.18396,0,0.78915,0.36225,0.41117,0.2737,0.79019,0.36283,0.40981,0.25428,1.16033,2.12773,1.54487,1.29089,0,0.000604,0.000604,0.000604
22,10553.6,0.89822,1.64973,1.16556,1.16777,0,0.78132,0.38411,0.46031,0.29694,0.79996,0.35922,0.45349,0.2764,1.10136,2.12911,1.40207,1.26153,0,0.0005842,0.0005842,0.0005842
23,10923.7,0.88313,1.71035,1.17471,1.16642,0,0.78477,0.365,0.4597,0.30111,0.77555,0.36166,0.41478,0.27391,1.14155,2.10222,1.44779,1.30491,0,0.0005644,0.0005644,0.0005644
